Sr No,date,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,year,month,month_name
1272,2016-10-04,Remitr,Consumer Internet,Foreign Currency Payments Platform,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,\\xc2\\xa0 Smart Start Fund; Kunal Shah,\\xc2\\xa0 Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,1000000.0,2016,10,October
1273,2016-10-04,InnerChef,Consumer Internet,Online food ordering platform,Gurgaon,"Mistletoe, M&S Partners",Private Equity,2500000.0,2016,10,October
1274,2016-10-04,AppsDaily,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,3750000.0,2016,10,October
1278,2016-10-05,UE LifeSciences,Technology,Mobile Health Technology Solutions,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,1200000.0,2016,10,October
1280,2016-10-06,RealBox,Technology,Data Sciences Platform,Noida,Hyderabad Angels,Seed Funding,300000.0,2016,10,October
1282,2016-10-06,GoZefo,eCommerce,Used Furniture & Appliances Marketplace,Bangalore,"Helion Venture Partners, BeeNext",Private Equity,1050000.0,2016,10,October
1283,2016-10-07,RayIOT,Technology,Baby Monitoring Devices manufacturer,Bangalore,HAX Accelerator,Seed Funding,100000.0,2016,10,October
1284,2016-10-07,KOOH Sports,Technology,Sports Training & Technology,Mumbai,"HDFC, Faering Capital, Elevate Sports",Private Equity,2200000.0,2016,10,October
1285,2016-10-07,Flexiloans,Consumer Internet,Online Funds Raising Platform,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,15000000.0,2016,10,October
1287,2016-10-10,Vithi.com,eCommerce,Online Hair Extension etailer,New Delhi,undisclosed investor,Seed Funding,375000.0,2016,10,October
1288,2016-10-11,Yupp TV,Consumer Internet,Internet-based TV streaming service provider,Bangalore,Emerald Media,Private Equity,50000000.0,2016,10,October
1289,2016-10-11,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,Gurgaon,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding,500000.0,2016,10,October
1291,2016-10-13,FabAlley,ecommerce,online fashion brand store,Noida,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,2000000.0,2016,10,October
1294,2016-10-13,RoboVac,Technology,waterless car washing solution,Ahmedabad,Virendra Patel,Seed Funding,450000.0,2016,10,October
1295,2016-10-14,Newspatrolling,Consumer Internet,Online News portal,New Delhi,Undisclosed,Seed Funding,25000.0,2016,10,October
1296,2016-10-14,Postman,Consumer Internet,API Platform,Bangalore,Nexus Venture Partners,Private Equity,7000000.0,2016,10,October
1297,2016-10-14,ISFC,Finance,Education Sector Lending,Hyderabad,Gray Matters Capital,Private Equity,6000000.0,2016,10,October
1301,2016-10-15,DailyHunt,Consumer Internet,Vernacular content mobile app,Bangalore,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,\\xc2\\xa0 Falcon Edge",Private Equity,25000000.0,2016,10,October
1302,2016-10-15,Tazzo Bikes,Consumer Internet,Motorbike rental platform,Hyderabad,DSG Consumer Partners,Seed Funding,227000.0,2016,10,October
1303,2016-10-15,MyKindofJob,Consumer Internet,Internet & Fresher Job platform,Mumbai,"Mayank Shah, Shreyans Shah",Seed Funding,1000000.0,2016,10,October
1306,2016-10-17,Yumigo,Consumer Internet,App based Travel Discovery and Transactions platform,Gurgaon,Hemant Sahni,Seed Funding,300000.0,2016,10,October
1307,2016-10-17,Rentalpha,Others,equipment rental and leasing company,Mumbai,Bravia Capital,Private Equity,16000000.0,2016,10,October
1308,2016-10-18,3Dexter,Technology,3D Printing Solutions for Edu space,New Delhi,Newbie Promoters,Seed Funding,150000.0,2016,10,October
1311,2016-10-18,MySUN,Technology,Solar Energy harnessing products marketplace,Noida,General Catalyst Partners,Private Equity,2500000.0,2016,10,October
1313,2016-10-19,Furlenco,Consumer Internet,Online Furniture Rental platform,Bangalore,"Lightbox Ventures, Axis Capital & Others",Private Equity,30000000.0,2016,10,October
1314,2016-10-19,Fisdom,Consumer Internet,Personal Wealth Management Platform & App,Bangalore,"Saama Capital, Raghunandan G, Aprameya Radhakrishna",Private Equity,1100000.0,2016,10,October
1315,2016-10-19,Actofit,Technology,Wearable Technology platform & devices,Mumbai,Next Orbit Ventures Fund,Private Equity,750000.0,2016,10,October
1319,2016-10-21,ChatOnGo,Consumer Internet,Hyperlocal\\xc2\\xa0 Communication Mobile app,Mumbai,Janak Jain,Seed Funding,300000.0,2016,10,October
1321,2016-10-24,Healthians,Consumer Internet,Health Test Discovery & Ordering service,Gurgaon,BEENEXT,Private Equity,3000000.0,2016,10,October
1322,2016-10-24,Box8,Consumer Internet,Online Food Ordering platform/App,Mumbai,"IIFL Seed Ventures Fund, Mayfield Ventures",Private Equity,7500000.0,2016,10,October
1323,2016-10-25,Kredx,eCommerce,Invoice discounting marketplace,Bangalore,Sequoia Capital,Private Equity,6000000.0,2016,10,October
1324,2016-10-25,CreditMate,Consumer Internet,Credit Report Info platform,Mumbai,India Quotient,Seed Funding,500000.0,2016,10,October
1327,2016-10-25,SooperMO,Technology,Android utility app suite creator,Gurgaon,Lalit Vase,Seed Funding,100000.0,2016,10,October
1328,2016-10-26,OrangeTwig,Consumer Internet,Social Media Marketing platform,New Delhi,Undisclosed investor,Seed Funding,1000000.0,2016,10,October
1330,2016-10-26,The Kettlery,eCommerce,Online Tea Etailer,Ahmedabad,"hooting Starts Sports LLP, Franchise India Brands",Private Equity,1000000.0,2016,10,October
1331,2016-10-27,Idea Bubbles,Consumer Internet,Doctor Consulting platform,Bangalore,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",Private Equity,700000.0,2016,10,October
1332,2016-10-27,FR8,Technology,Truck Fleet Operation platform,Chennai,Omnivore Partners,Private Equity,971000.0,2016,10,October
1333,2016-10-27,Ather Energy,Technology,Electric Vehicle Manufacturer,Bangalore,Hero MotoCorp,Private Equity,27000000.0,2016,10,October
1335,2016-10-29,Velmenni,Technology,LiFi based wireless communication provider,New Delhi,Kalaari Capital,Seed Funding,100000.0,2016,10,October
1336,2016-10-29,Volta Motors,Technology,Electric Bike Manufacturer,Chennai,Kalaari Capital,Seed Funding,100000.0,2016,10,October
1337,2016-10-29,Cyclops,Technology,Clinical and Wearable Diagnostic Product creator,Bangalore,Kalaari Capital,Seed Funding,100000.0,2016,10,October
1338,2016-10-30,Impact Analytics,Technology,Business intelligence and data science Startup,Bangalore,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,750000.0,2016,10,October
1339,2016-10-31,Talent Next,Consumer Internet,Talent Discovery & Audition management platform,Mumbai,Karanpal Singh & Others,Seed Funding,1000000.0,2016,10,October
1341,2016-09-01,Mihup,Technology,Personal Digital Assistant,Kolkata,Accel Partners,Private Equity,6700000.0,2016,9,September
1347,2016-09-06,eShakti,eCommerce,Women\xe2\x80\x99s Fashion Apparel eTailer,Chennai,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,1350000.0,2016,9,September
1348,2016-09-06,CheersOye!,Consumer Internet,Online Gift Vouchers platform,Mumbai,Undisclosed Investors,Seed Funding,500000.0,2016,9,September
1350,2016-09-06,BigStylist,Consumer Internet,Hyperlocal doorstep Beauty Services provider,Mumbai,Info Edge (India) Ltd,Private Equity,900000.0,2016,9,September
1351,2016-09-07,Zilingo,eCommerce,Online Fashion Retailer,Bangalore/ Bangkok,"Venturra Capital, Sequoia India, Susquehanna International Group.\\xc2\\xa0 Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,8000000.0,2016,9,September
1352,2016-09-07,Alternacare,Consumer Internet,Online Doctor Consulting platform,New Delhi,Eros Labs,Seed Funding,500000.0,2016,9,September
1353,2016-09-07,Simplilearn,Education,Online Certification programs,Bangalore,InnoVen Capital India,Private Equity,6000000.0,2016,9,September
1354,2016-09-07,Prozo,eCommerce,Study Material Marketplace,Gurgaon,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding,315000.0,2016,9,September
1355,2016-09-08,TopRankers,Education,Online Test Preparation platform,Bangalore,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed Funding,670000.0,2016,9,September
1356,2016-09-08,BuildTraders,eCommerce,Online Construction Materials Marketplace,Bangalore,Idein Ventures,Seed Funding,200000.0,2016,9,September
1357,2016-09-09,Byju\\xe2\\x80\\x99s,Education,Online Learning App,Bangalore,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,50000000.0,2016,9,September
1360,2016-09-10,CureInstant,Consumer Internet,Social Health Networking Platform,New Delhi,Dr. Rameshwar Kumar,Seed Funding,150000.0,2016,9,September
1361,2016-09-10,Poshtic,Consumer Internet,Online health & Wellness platform,Noida,"havya Sharma, Amit Nagar",Seed Funding,450000.0,2016,9,September
1363,2016-09-12,Purple Style Labs,Consumer Internet,Personal Styling Online platform,Mumbai,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding,448000.0,2016,9,September
1364,2016-09-12,Inuxu,Technology,Online Advertising Solutions,Pune,Fork Media,Private Equity,3000000.0,2016,9,September
1365,2016-09-12,Nykaa,eCommerce,Online Beauty products eTailer,Mumbai,"Sunil Munjal, Mariwala family",Private Equity,12300000.0,2016,9,September
1366,2016-09-12,Glam Studios,Consumer Internet,Beauty Salon Aggregator,Noida,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed Funding,300000.0,2016,9,September
1370,2016-09-13,NearBuy,Consumer Internet,Online Deals & Discount platform,Gurgaon,BlackSoil Capital Pvt. Ltd.,Private Equity,2500000.0,2016,9,September
1372,2016-09-14,Flocareer,Consumer Internet,Jobs & Skill Validation platform,Bangalore,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding,150000.0,2016,9,September
1374,2016-09-15,infeedo,Consumer Internet,Employee engagement platform,Gurgaon,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,\\xc2\\xa0 Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed Funding,200000.0,2016,9,September
1375,2016-09-15,Furlenco,eCommerce,Online furniture rental startup,Bangalore,Lightbox Ventures and others,Private Equity,5000000.0,2016,9,September
1376,2016-09-15,GoPigeon,Consumer Internet,on-demand logistics service provider,Bangalore,Nexus Venture Partners,Private Equity,1500000.0,2016,9,September
1377,2016-09-16,NewsDistill,Consumer Internet,City based News Aggregator App,Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding,100000.0,2016,9,September
1378,2016-09-16,DoctorInsta,Consumer Internet,Online Doctor Consultations,Gurgaon,RoundGlass Partners,Private Equity,1000000.0,2016,9,September
1379,2016-09-19,Milofy,Consumer Internet,Couple Socialization App,Bangalore,Accel Partners,Seed Funding,750000.0,2016,9,September
1381,2016-09-19,Swiggy,Consumer Internet,Online Food Ordering & Delivery,Bangalore,Bessemer Venture Partners,Private Equity,15000000.0,2016,9,September
1383,2016-09-20,JustLikeNew,eCommerce,Online gadget Repair Services Marketplace,Hyderabad,LetsVenture,Seed Funding,500000.0,2016,9,September
1385,2016-09-21,Co Life,Consumer Internet,shared living and working spaces platform,Bangalore,Undisclosed Investors,Seed Funding,1000000.0,2016,9,September
1387,2016-09-21,Pepperfry,eCommerce,Furniture eTailer,Mumbai,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,31300000.0,2016,9,September
1388,2016-09-21,eQuickies,eCommerce,Online Book etailer,Ahmedabad,Lothal Angel Ventures,Seed Funding,298000.0,2016,9,September
1389,2016-09-21,Khel Now,Consumer Internet,Mobile-based social networking platform,New Delhi,Anglian Omega Network,Seed Funding,350000.0,2016,9,September
1390,2016-09-22,Gadgetwood,Consumer Internet,On-Demand Gadget repair services platform,New Delhi,Carpediem Capital,Private Equity,6000000.0,2016,9,September
1392,2016-09-22,Flixy Games,Technology,Mobile Game Publisher for Indian audience,Bangalore,Rebright Partners,Seed Funding,425000.0,2016,9,September
1393,2016-09-22,HashTaag,Technology,Mobile App Development company,Bangalore,Undisclosed investors,Seed Funding,1000000.0,2016,9,September
1394,2016-09-22,PharmaRack,Technology,SAAS application for Pharma Industry,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,745000.0,2016,9,September
1395,2016-09-23,\\xc2\\xa0CloudCherry,Technology,CRM SAAS Platform,Chennai,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,6000000.0,2016,9,September
1401,2016-09-27,TinyStep,Consumer Internet,Parenting Network Platform,Bangalore,Flipkart Logistics Pvt. Ltd,Private Equity,1580000.0,2016,9,September
1403,2016-09-28,Beardo,eCommerce,Mens Grooming products etailer,Ahmedabad,Venture Catalysts,Seed Funding,500000.0,2016,9,September
1404,2016-09-28,Instacar,Consumer Internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd.,Seed Funding,1000000.0,2016,9,September
1405,2016-09-28,Celes Care,Consumer Internet,Virtual Health Clinic for Women,Hyderabad,Endiya Partners,Seed Funding,1000000.0,2016,9,September
1406,2016-09-28,Druva,Technology,Cloud Based Data Protection Solution,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,51000000.0,2016,9,September
1407,2016-09-29,Promon,eCommerce,Local Commerce Platform,New Delhi,Now Capital,Seed Funding,180000.0,2016,9,September
1409,2016-09-29,Unocoin,Consumer Internet,Bitcoin Wallet,Bangalore,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,1500000.0,2016,9,September
1411,2016-09-30,Zeta,Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,19000000.0,2016,9,September
1413,2016-08-01,HealthKart,eCommerce,Online Pharmacy & Health Marketplace,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,12000000.0,2016,8,August
1414,2016-08-01,Medinfi,Consumer Internet,Doctor & Clinic\\xc2\\xa0 Discovery Platform,Bangalore,"Mudit Saxena, Evan Lim",Seed Funding,200000.0,2016,8,August
1415,2016-08-01,RepairEasy,Consumer Internet,Gadget Repair Services Platform,Pune,Undisclosed HNIs,Seed Funding,275000.0,2016,8,August
1416,2016-08-01,Voonik,eCommerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bangalore,InnoVen Capital,Private Equity,3000000.0,2016,8,August
1417,2016-08-01,Tokri,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Syska LED group,Private Equity,2500000.0,2016,8,August
1418,2016-08-02,Sheroes,Consumer Internet,Online Job and Career Platform for Women,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,1800000.0,2016,8,August
1420,2016-08-02,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,1000000.0,2016,8,August
1422,2016-08-03,ExtraCarbon,Consumer Internet,Waste Recycle Management platform,Gurgaon,Brand Capital,Seed Funding,225000.0,2016,8,August
1423,2016-08-03,FlickBay,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed Funding,890000.0,2016,8,August
1424,2016-08-04,Petoo,Consumer Internet,Food Delivery Platform,Bangalore,Existing Investors,Seed Funding,500000.0,2016,8,August
1427,2016-08-06,VST Travels,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding,27000.0,2016,8,August
1429,2016-08-08,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd.,Seed Funding,40000.0,2016,8,August
1430,2016-08-08,Mojarto,eCommerce,"Original Art, Digital Prints etailer",Gurgaon,Undisclosed Investors,Seed Funding,445000.0,2016,8,August
1431,2016-08-08,Zipgrid,Consumer Internet,Community services platform,Mumbai,1Crowd (through crowd funding),Seed Funding,200000.0,2016,8,August
1434,2016-08-10,Vebbler,Consumer Internet,Photo Sharing Mobile App,Bangalore,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,500000.0,2016,8,August
1435,2016-08-10,Bombay Shaving Company,eCommerce,Men\\xe2\\x80\\x99s Grooming Product etailer,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,600000.0,2016,8,August
1436,2016-08-11,Travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,7000000.0,2016,8,August
1438,2016-08-11,Genextstudents,Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd (through crowdfunding),Seed Funding,209000.0,2016,8,August
1439,2016-08-11,Zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,15000000.0,2016,8,August
1440,2016-08-12,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,1500000.0,2016,8,August
1441,2016-08-12,Faircent.com,Consumer Internet,peer-to-peer lending platform,Gurgaon,Brand Capital,Private Equity,1500000.0,2016,8,August
1442,2016-08-12,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,15600000.0,2016,8,August
1443,2016-08-12,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed Funding,500000.0,2016,8,August
1447,2016-08-16,OyoRooms,Consumer Internet,Budget Hotels Aggregator,New Delhi,SoftBank Group,Private Equity,62000000.0,2016,8,August
1448,2016-08-16,Hike,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,175000000.0,2016,8,August
1449,2016-08-16,Joolz,eCommerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,500000.0,2016,8,August
1450,2016-08-16,SaleBhai,eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Brand Capital,Private Equity,1500000.0,2016,8,August
1451,2016-08-16,Makkajai,Technology,Online & Mobile learning for kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,250000.0,2016,8,August
1453,2016-08-17,MaalGaadi,Logistics,Online Logistics Marketplace,Indore,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,375000.0,2016,8,August
1455,2016-08-17,Appknox,Technology,Mobile security solutions,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,675000.0,2016,8,August
1459,2016-08-19,Quikr,Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,20000000.0,2016,8,August
1460,2016-08-19,Digio,Technology,Aadhar based Document Signing platform,Bangalore,Rainmatter,Private Equity,375000.0,2016,8,August
1463,2016-08-22,Puro Wellness,healthcare,"Organic,\\xc2\\xa0 Natural\\xc2\\xa0 Food substitute manufacturer",Mumbai,Torrent Group,Private Equity,37000000.0,2016,8,August
1466,2016-08-23,Notesgen,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,100000.0,2016,8,August
1468,2016-08-23,Octo.ai,Technology,Artificial Intelligence based marketing platform,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,200000.0,2016,8,August
1470,2016-08-24,UnaAcademy,Consumer Internet,Free Interactive education platform,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,\\xc2\\xa0 Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,1000000.0,2016,8,August
1471,2016-08-24,Advenio,Technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed Funding,100000.0,2016,8,August
1472,2016-08-24,Guarented,eCommerce,Home Furnishing rental marketplace,Bangalore,Kalaari Capital,Seed Funding,500000.0,2016,8,August
1474,2016-08-24,Uber Dreams,eCommerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed Funding,500000.0,2016,8,August
1475,2016-08-24,Convegenius,Education,Edutainment platform,Noida,Michael and Susan Dell Foundation,Private Equity,900000.0,2016,8,August
1476,2016-08-24,UrbanLadder,eCommerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,3000000.0,2016,8,August
1479,2016-08-25,Cult,Healthcare,Health and Fitness Centres,Bangalore,CureFit,Private Equity,3000000.0,2016,8,August
1482,2016-08-25,ZoomCar,Consumer Internet,Self-driven car booking platform,Bangalore,Ford Smart Mobility Llc,Private Equity,24000000.0,2016,8,August
1483,2016-08-26,Plix,Consumer Internet,Photo and Video Sharing App,Gurgaon,Instalabs,Seed Funding,500000.0,2016,8,August
1484,2016-08-26,Mobikwik,Consumer Internet,Digital Wallet platform,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,40000000.0,2016,8,August
1485,2016-08-26,MyDidi,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,550000.0,2016,8,August
1487,2016-08-29,LoanTap,Consumer Internet,Lending platform for Salaried professionals,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,3000000.0,2016,8,August
1488,2016-08-29,Runnr,Consumer Internet,hyperlocal Logistics services provider,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,7000000.0,2016,8,August
1490,2016-08-29,Notion Press,Consumer Internet,Self-Publishing books platform,Chennai,Undisclosed HNI investors,Private Equity,1000000.0,2016,8,August
1491,2016-08-29,LivSpace,Consumer Internet,Online portal for Home Design,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,15000000.0,2016,8,August
1492,2016-08-30,iAugmentor Labs,Technology,Assessment & Learning Platform,Gurgaon,Rajasthan Angel Investor Network & Others,Seed Funding,149000.0,2016,8,August
1493,2016-08-30,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,104000.0,2016,8,August
1494,2016-08-30,Paytm,eCommerce,Mobile Wallet & ECommerce platform,Bangalore,MediaTek Inc.,Private Equity,60000000.0,2016,8,August
1495,2016-08-30,CropIn,Technology,Agriculture Technology Solutions,Bangalore,Sophia Investment ApS,Private Equity,2000000.0,2016,8,August
1496,2016-08-30,Canvera,Consumer Internet,Photographer Discovery & Information platform,Bangalore,Info Edge (India) Ltd,Private Equity,3000000.0,2016,8,August
1498,2016-08-31,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,5300000.0,2016,8,August
1502,2016-07-01,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,500000.0,2016,7,July
1504,2016-07-02,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,700000.0,2016,7,July
1506,2016-07-04,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,15000000.0,2016,7,July
1507,2016-07-04,StitchWood,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,200000.0,2016,7,July
1508,2016-07-04,Grab.in,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,2000000.0,2016,7,July
1510,2016-07-04,NeoGrowth,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,16000000.0,2016,7,July
1511,2016-07-05,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund\\xc2\\xa0 & Others,Private Equity,1000000.0,2016,7,July
1512,2016-07-05,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,82000000.0,2016,7,July
1513,2016-07-05,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\xc2\\xa0 Abhishek Jain",Seed Funding,1700000.0,2016,7,July
1514,2016-07-06,HappilyUnmarried,eCommerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity,740000.0,2016,7,July
1515,2016-07-06,Don\\xe2\\x80\\x99t Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,250000.0,2016,7,July
1516,2016-07-06,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,297000.0,2016,7,July
1517,2016-07-07,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,2000000.0,2016,7,July
1518,2016-07-07,Adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,1000000.0,2016,7,July
1522,2016-07-08,HolaChef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,1950000.0,2016,7,July
1523,2016-07-11,Purplle,eCommerce,Beauty Products Marketplace,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,6000000.0,2016,7,July
1524,2016-07-11,Trak N Tell,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,3500000.0,2016,7,July
1525,2016-07-11,Overcart.com,eCommerce,Unboxed & refurbished electronic products marketplace,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,3000000.0,2016,7,July
1526,2016-07-12,SirionLabs,Technology,SAAS based Service Agreement Management,Gurgaon,Sequoia Capital,Private Equity,12250000.0,2016,7,July
1531,2016-07-13,YAAP,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,5000000.0,2016,7,July
1533,2016-07-13,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,600000.0,2016,7,July
1534,2016-07-13,ShareChat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bangalore,"SAIF Partners, India Quotient",Private Equity,1350000.0,2016,7,July
1536,2016-07-13,RentMojo,Consumer Internet,Online Furniture Renting Platform,Bangalore,"Accel Partners, IDG Ventures India",Private Equity,5000000.0,2016,7,July
1539,2016-07-14,Augrav,eCommerce,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Funding,450000.0,2016,7,July
1540,2016-07-14,ShoppinPal,Technology,M-Commerce Solutions for Retail Stores,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,1070000.0,2016,7,July
1542,2016-07-15,WorkApps,Technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding,1000000.0,2016,7,July
